,moveId,nickname,comment,rate,city,start_time
2422,1208282,姚望 REX,演员演技在线，特别是马嘉祺，但其余的毫无亮点，跟疯狂的石头比较实在是过誉了,1,湛江,2018-11-29 15:45:03
2423,1208282,Wxv957579861,强推👍👍👍👍   太赞了,5,乌鲁木齐,2018-11-29 15:44:38
2424,1208282,菲常靓果（学习成就更美好的你）,笑着笑着就哭了，哭着哭着又微笑了。笑点泪点都踩对了痛点，亲情友情爱情，总有其一令你留恋人间。缺点是能皇帝能勺子的陈老师口音老出戏，女儿最后表白情节稍嫌刻意，失足女突然一脸纯真地舔棒棒糖的心灵救赎也略生硬，但悍匪与残妇的主线铺垫和感情变化还是表达得很充分，照相那截最泪目。最后，那地产大亨的小三洗白导演到底咋想的？,5,惠州,2018-11-29 15:43:34
2425,1208282,修,看得我一会笑一会哭，唉真虐,5,三河,2018-11-29 15:43:12
2426,1208282,8023天使守护神,剧情不好  不好,2,成都,2018-11-29 15:41:48
2427,1208282,K柯妹儿,前面有点搞笑后面有点感人。,5,重庆,2018-11-29 15:41:42
2428,1208282,ytn990822045,好看不错不错,5,长兴,2018-11-29 15:41:07
2429,1208282,大副,笑中带泪      我们的生活就是这样       在不断的失望希望中徘徊,4,朝阳,2018-11-29 15:40:47
2430,1208282,饶舌让你热。,好看，喜欢看,5,乐山,2018-11-29 15:48:47
2431,1208282,eventao0515,都是实力派演员 很赞,4,昆山,2018-11-29 15:46:59
2432,1208282,五十米深蓝,果然很不错，值得推荐大家看一下！,5,佛山,2018-11-29 15:46:28
2433,1208282,cVd146924609,很好看有深度,5,许昌,2018-11-29 15:45:37
2434,1208282,iron fan,很好看，但是感觉有点……杂,5,郑州,2018-11-29 15:45:20
2435,1208282,戴石头,整部片子诙谐幽默带点讽刺，但是后半部分略显亢长，没有前半部分有趣。,4,江阴,2018-11-29 15:45:09
2436,1208282,姚望 REX,演员演技在线，特别是马嘉祺，但其余的毫无亮点，跟疯狂的石头比较实在是过誉了,1,湛江,2018-11-29 15:45:03
2437,1208282,Wxv957579861,强推👍👍👍👍   太赞了,5,乌鲁木齐,2018-11-29 15:44:38
2438,1208282,菲常靓果（学习成就更美好的你）,笑着笑着就哭了，哭着哭着又微笑了。笑点泪点都踩对了痛点，亲情友情爱情，总有其一令你留恋人间。缺点是能皇帝能勺子的陈老师口音老出戏，女儿最后表白情节稍嫌刻意，失足女突然一脸纯真地舔棒棒糖的心灵救赎也略生硬，但悍匪与残妇的主线铺垫和感情变化还是表达得很充分，照相那截最泪目。最后，那地产大亨的小三洗白导演到底咋想的？,5,惠州,2018-11-29 15:43:34
2439,1208282,修,看得我一会笑一会哭，唉真虐,5,三河,2018-11-29 15:43:12
2440,1208282,8023天使守护神,剧情不好  不好,2,成都,2018-11-29 15:41:48
2441,1208282,K柯妹儿,前面有点搞笑后面有点感人。,5,重庆,2018-11-29 15:41:42
2442,1208282,ytn990822045,好看不错不错,5,长兴,2018-11-29 15:41:07
2443,1208282,大副,笑中带泪      我们的生活就是这样       在不断的失望希望中徘徊,4,朝阳,2018-11-29 15:40:47
2444,1208282,如影肆念,很搞笑，还不错吧。,5,深圳,2018-11-29 15:39:53
2445,1208282,eventao0515,都是实力派演员 很赞,4,昆山,2018-11-29 15:46:59
2446,1208282,五十米深蓝,果然很不错，值得推荐大家看一下！,5,佛山,2018-11-29 15:46:28
2447,1208282,cVd146924609,很好看有深度,5,许昌,2018-11-29 15:45:37
2448,1208282,iron fan,很好看，但是感觉有点……杂,5,郑州,2018-11-29 15:45:20
2449,1208282,戴石头,整部片子诙谐幽默带点讽刺，但是后半部分略显亢长，没有前半部分有趣。,4,江阴,2018-11-29 15:45:09
2450,1208282,姚望 REX,演员演技在线，特别是马嘉祺，但其余的毫无亮点，跟疯狂的石头比较实在是过誉了,1,湛江,2018-11-29 15:45:03
2451,1208282,Wxv957579861,强推👍👍👍👍   太赞了,5,乌鲁木齐,2018-11-29 15:44:38
2452,1208282,菲常靓果（学习成就更美好的你）,笑着笑着就哭了，哭着哭着又微笑了。笑点泪点都踩对了痛点，亲情友情爱情，总有其一令你留恋人间。缺点是能皇帝能勺子的陈老师口音老出戏，女儿最后表白情节稍嫌刻意，失足女突然一脸纯真地舔棒棒糖的心灵救赎也略生硬，但悍匪与残妇的主线铺垫和感情变化还是表达得很充分，照相那截最泪目。最后，那地产大亨的小三洗白导演到底咋想的？,5,惠州,2018-11-29 15:43:34
2453,1208282,修,看得我一会笑一会哭，唉真虐,5,三河,2018-11-29 15:43:12
2454,1208282,8023天使守护神,剧情不好  不好,2,成都,2018-11-29 15:41:48
2455,1208282,K柯妹儿,前面有点搞笑后面有点感人。,5,重庆,2018-11-29 15:41:42
2456,1208282,ytn990822045,好看不错不错,5,长兴,2018-11-29 15:41:07
2457,1208282,大副,笑中带泪      我们的生活就是这样       在不断的失望希望中徘徊,4,朝阳,2018-11-29 15:40:47
2458,1208282,如影肆念,很搞笑，还不错吧。,5,深圳,2018-11-29 15:39:53
2459,1208282,長夜春曉,无名之辈比较好。,4,黄石,2018-11-29 15:39:12
2460,1208282,五十米深蓝,果然很不错，值得推荐大家看一下！,5,佛山,2018-11-29 15:46:28
2461,1208282,cVd146924609,很好看有深度,5,许昌,2018-11-29 15:45:37
2462,1208282,iron fan,很好看，但是感觉有点……杂,5,郑州,2018-11-29 15:45:20
2463,1208282,戴石头,整部片子诙谐幽默带点讽刺，但是后半部分略显亢长，没有前半部分有趣。,4,江阴,2018-11-29 15:45:09
2464,1208282,姚望 REX,演员演技在线，特别是马嘉祺，但其余的毫无亮点，跟疯狂的石头比较实在是过誉了,1,湛江,2018-11-29 15:45:03
2465,1208282,Wxv957579861,强推👍👍👍👍   太赞了,5,乌鲁木齐,2018-11-29 15:44:38
2466,1208282,菲常靓果（学习成就更美好的你）,笑着笑着就哭了，哭着哭着又微笑了。笑点泪点都踩对了痛点，亲情友情爱情，总有其一令你留恋人间。缺点是能皇帝能勺子的陈老师口音老出戏，女儿最后表白情节稍嫌刻意，失足女突然一脸纯真地舔棒棒糖的心灵救赎也略生硬，但悍匪与残妇的主线铺垫和感情变化还是表达得很充分，照相那截最泪目。最后，那地产大亨的小三洗白导演到底咋想的？,5,惠州,2018-11-29 15:43:34
2467,1208282,修,看得我一会笑一会哭，唉真虐,5,三河,2018-11-29 15:43:12
2468,1208282,8023天使守护神,剧情不好  不好,2,成都,2018-11-29 15:41:48
2469,1208282,K柯妹儿,前面有点搞笑后面有点感人。,5,重庆,2018-11-29 15:41:42
2470,1208282,ytn990822045,好看不错不错,5,长兴,2018-11-29 15:41:07
2471,1208282,大副,笑中带泪      我们的生活就是这样       在不断的失望希望中徘徊,4,朝阳,2018-11-29 15:40:47
2472,1208282,如影肆念,很搞笑，还不错吧。,5,深圳,2018-11-29 15:39:53
2473,1208282,長夜春曉,无名之辈比较好。,4,黄石,2018-11-29 15:39:12
2474,1208282,再见另一边,不错……………………,4,鄂尔多斯,2018-11-29 15:39:00
2475,1208282,cVd146924609,很好看有深度,5,许昌,2018-11-29 15:45:37
2476,1208282,iron fan,很好看，但是感觉有点……杂,5,郑州,2018-11-29 15:45:20
2477,1208282,戴石头,整部片子诙谐幽默带点讽刺，但是后半部分略显亢长，没有前半部分有趣。,4,江阴,2018-11-29 15:45:09
2478,1208282,姚望 REX,演员演技在线，特别是马嘉祺，但其余的毫无亮点，跟疯狂的石头比较实在是过誉了,1,湛江,2018-11-29 15:45:03
2479,1208282,Wxv957579861,强推👍👍👍👍   太赞了,5,乌鲁木齐,2018-11-29 15:44:38
2480,1208282,菲常靓果（学习成就更美好的你）,笑着笑着就哭了，哭着哭着又微笑了。笑点泪点都踩对了痛点，亲情友情爱情，总有其一令你留恋人间。缺点是能皇帝能勺子的陈老师口音老出戏，女儿最后表白情节稍嫌刻意，失足女突然一脸纯真地舔棒棒糖的心灵救赎也略生硬，但悍匪与残妇的主线铺垫和感情变化还是表达得很充分，照相那截最泪目。最后，那地产大亨的小三洗白导演到底咋想的？,5,惠州,2018-11-29 15:43:34
2481,1208282,修,看得我一会笑一会哭，唉真虐,5,三河,2018-11-29 15:43:12
2482,1208282,8023天使守护神,剧情不好  不好,2,成都,2018-11-29 15:41:48
2483,1208282,K柯妹儿,前面有点搞笑后面有点感人。,5,重庆,2018-11-29 15:41:42
2484,1208282,ytn990822045,好看不错不错,5,长兴,2018-11-29 15:41:07
2485,1208282,大副,笑中带泪      我们的生活就是这样       在不断的失望希望中徘徊,4,朝阳,2018-11-29 15:40:47
2486,1208282,如影肆念,很搞笑，还不错吧。,5,深圳,2018-11-29 15:39:53
2487,1208282,長夜春曉,无名之辈比较好。,4,黄石,2018-11-29 15:39:12
2488,1208282,再见另一边,不错……………………,4,鄂尔多斯,2018-11-29 15:39:00
2489,1208282,lyI607371611,人物性格鲜明，不错的电影,5,万州,2018-11-29 15:37:54
2490,1208282,iron fan,很好看，但是感觉有点……杂,5,郑州,2018-11-29 15:45:20
2491,1208282,戴石头,整部片子诙谐幽默带点讽刺，但是后半部分略显亢长，没有前半部分有趣。,4,江阴,2018-11-29 15:45:09
2492,1208282,姚望 REX,演员演技在线，特别是马嘉祺，但其余的毫无亮点，跟疯狂的石头比较实在是过誉了,1,湛江,2018-11-29 15:45:03
2493,1208282,Wxv957579861,强推👍👍👍👍   太赞了,5,乌鲁木齐,2018-11-29 15:44:38
2494,1208282,菲常靓果（学习成就更美好的你）,笑着笑着就哭了，哭着哭着又微笑了。笑点泪点都踩对了痛点，亲情友情爱情，总有其一令你留恋人间。缺点是能皇帝能勺子的陈老师口音老出戏，女儿最后表白情节稍嫌刻意，失足女突然一脸纯真地舔棒棒糖的心灵救赎也略生硬，但悍匪与残妇的主线铺垫和感情变化还是表达得很充分，照相那截最泪目。最后，那地产大亨的小三洗白导演到底咋想的？,5,惠州,2018-11-29 15:43:34
2495,1208282,修,看得我一会笑一会哭，唉真虐,5,三河,2018-11-29 15:43:12
2496,1208282,8023天使守护神,剧情不好  不好,2,成都,2018-11-29 15:41:48
2497,1208282,K柯妹儿,前面有点搞笑后面有点感人。,5,重庆,2018-11-29 15:41:42
2498,1208282,ytn990822045,好看不错不错,5,长兴,2018-11-29 15:41:07
2499,1208282,大副,笑中带泪      我们的生活就是这样       在不断的失望希望中徘徊,4,朝阳,2018-11-29 15:40:47
2500,1208282,如影肆念,很搞笑，还不错吧。,5,深圳,2018-11-29 15:39:53
2501,1208282,長夜春曉,无名之辈比较好。,4,黄石,2018-11-29 15:39:12
2502,1208282,再见另一边,不错……………………,4,鄂尔多斯,2018-11-29 15:39:00
2503,1208282,lyI607371611,人物性格鲜明，不错的电影,5,万州,2018-11-29 15:37:54
2504,1208282,xrj373072401,体会过啦啦啦,5,济宁,2018-11-29 15:37:43
2505,1208282,戴石头,整部片子诙谐幽默带点讽刺，但是后半部分略显亢长，没有前半部分有趣。,4,江阴,2018-11-29 15:45:09
2506,1208282,姚望 REX,演员演技在线，特别是马嘉祺，但其余的毫无亮点，跟疯狂的石头比较实在是过誉了,1,湛江,2018-11-29 15:45:03
2507,1208282,Wxv957579861,强推👍👍👍👍   太赞了,5,乌鲁木齐,2018-11-29 15:44:38
2508,1208282,菲常靓果（学习成就更美好的你）,笑着笑着就哭了，哭着哭着又微笑了。笑点泪点都踩对了痛点，亲情友情爱情，总有其一令你留恋人间。缺点是能皇帝能勺子的陈老师口音老出戏，女儿最后表白情节稍嫌刻意，失足女突然一脸纯真地舔棒棒糖的心灵救赎也略生硬，但悍匪与残妇的主线铺垫和感情变化还是表达得很充分，照相那截最泪目。最后，那地产大亨的小三洗白导演到底咋想的？,5,惠州,2018-11-29 15:43:34
2509,1208282,修,看得我一会笑一会哭，唉真虐,5,三河,2018-11-29 15:43:12
2510,1208282,8023天使守护神,剧情不好  不好,2,成都,2018-11-29 15:41:48
2511,1208282,K柯妹儿,前面有点搞笑后面有点感人。,5,重庆,2018-11-29 15:41:42
2512,1208282,ytn990822045,好看不错不错,5,长兴,2018-11-29 15:41:07
2513,1208282,大副,笑中带泪      我们的生活就是这样       在不断的失望希望中徘徊,4,朝阳,2018-11-29 15:40:47
2514,1208282,如影肆念,很搞笑，还不错吧。,5,深圳,2018-11-29 15:39:53
2515,1208282,長夜春曉,无名之辈比较好。,4,黄石,2018-11-29 15:39:12
2516,1208282,再见另一边,不错……………………,4,鄂尔多斯,2018-11-29 15:39:00
2517,1208282,lyI607371611,人物性格鲜明，不错的电影,5,万州,2018-11-29 15:37:54
